epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2728,2.37495,9.52878,1.31352,0,0,0,0,1.81787,7.20721,1.09857,0.00016306,0.00016306,0.00016306
2,56.881,2.31267,9.15131,1.21204,0,0,0,0,1.90732,7.22197,1.11487,0.000327279,0.000327279,0.000327279
3,91.0549,2.26376,8.37011,1.15266,0.00287,0.07247,0.00673,0.00219,2.10164,7.21413,1.29062,0.000487332,0.000487332,0.000487332
4,127.14,2.2326,7.68001,1.27761,0.00239,0.17085,0.01556,0.0062,2.03383,6.71793,1.28245,0.000506472,0.000506472,0.000506472
5,158.605,2.21857,7.27684,1.23446,0.00226,0.15375,0.0157,0.00588,2.18536,6.72007,1.23657,0.000499963,0.000499963,0.000499963
6,193.094,2.34586,7.60752,1.21593,0.7786,0.06042,0.04235,0.01487,2.00965,6.25299,1.22631,0.000493454,0.000493454,0.000493454
7,227.492,2.0895,6.66907,1.20934,0.00347,0.15228,0.0226,0.00636,2.08513,6.34493,1.24646,0.000486945,0.000486945,0.000486945
8,258.775,2.20676,6.6809,1.15638,0.55018,0.0375,0.03933,0.01263,2.05283,5.84124,1.29477,0.000480435,0.000480435,0.000480435
9,288.613,2.04352,5.86046,1.20047,0.56003,0.07708,0.03777,0.02287,1.92877,5.58693,1.24194,0.000473926,0.000473926,0.000473926
10,317.146,1.99297,5.63799,1.12646,0.4284,0.07083,0.04163,0.02291,1.94487,5.48213,1.26955,0.000467417,0.000467417,0.000467417
11,343.584,2.01884,5.65026,1.13104,0.35254,0.11195,0.04754,0.01397,1.82,5.52176,1.12261,0.000460907,0.000460907,0.000460907
12,371.35,2.15168,5.86203,1.12189,0.60582,0.07888,0.04606,0.02297,1.85652,5.35877,1.11702,0.000454398,0.000454398,0.000454398
13,400.23,2.07339,5.63396,1.12663,0.55336,0.04583,0.02199,0.01157,1.91122,6.57195,1.20025,0.000447889,0.000447889,0.000447889
14,429.216,2.13378,5.38357,1.11118,0.56169,0.05667,0.02737,0.01553,1.91182,5.43428,1.15116,0.00044138,0.00044138,0.00044138
15,460.226,1.96512,4.99579,1.1222,0.5212,0.05667,0.02414,0.01248,1.91943,5.84713,1.12586,0.00043487,0.00043487,0.00043487
16,485.785,1.95925,5.01191,1.062,0.63401,0.06667,0.03353,0.01365,1.83321,4.93297,1.20177,0.000428361,0.000428361,0.000428361
17,512.4,1.89888,4.93424,1.14813,0.69409,0.04583,0.0323,0.01226,1.84525,4.89773,1.15071,0.000421852,0.000421852,0.000421852
18,538.868,1.90122,4.62637,1.13989,0.50799,0.07207,0.04282,0.01837,1.82939,4.64357,1.14914,0.000415343,0.000415343,0.000415343
19,563.879,1.91294,4.63126,1.12016,0.48027,0.09179,0.05422,0.02717,1.87799,4.6802,1.0711,0.000408834,0.000408834,0.000408834
20,590.534,1.95489,4.63962,1.09277,0.65658,0.07263,0.02796,0.01566,1.80952,4.58287,1.10493,0.000402324,0.000402324,0.000402324
21,622.542,1.85333,4.25498,1.08184,0.58844,0.05596,0.0393,0.02097,1.75474,4.66204,1.09243,0.000395815,0.000395815,0.000395815
22,652.747,1.82958,4.31712,1.10837,0.90211,0.05179,0.05392,0.02657,1.7278,4.54538,1.05707,0.000389306,0.000389306,0.000389306
23,681.263,1.79229,4.22575,1.03373,0.72687,0.08933,0.05884,0.03408,1.81263,4.60225,1.11134,0.000382796,0.000382796,0.000382796
24,710.69,1.81281,4.0626,1.0562,0.64446,0.09484,0.04685,0.02468,1.73009,4.56365,1.07014,0.000376287,0.000376287,0.000376287
25,741.565,1.73973,3.931,1.05254,0.69732,0.08471,0.05824,0.02824,1.72316,4.51553,1.03322,0.000369778,0.000369778,0.000369778
26,769.8,1.87521,4.02372,1.07057,0.41468,0.06567,0.04065,0.02112,1.8675,4.59048,1.07721,0.000363269,0.000363269,0.000363269
27,803.326,1.75935,3.92052,1.04928,0.49135,0.10526,0.0677,0.03261,1.80954,4.45379,1.06782,0.00035676,0.00035676,0.00035676
28,836.098,1.71621,3.65634,1.05008,0.73817,0.08443,0.06543,0.03268,1.68532,4.29029,1.05705,0.00035025,0.00035025,0.00035025
29,865.949,1.77337,3.85733,1.03113,0.61855,0.06984,0.04733,0.0303,1.63978,4.30928,1.06103,0.000343741,0.000343741,0.000343741
30,893.011,1.68036,3.51254,0.9962,0.64604,0.08651,0.05245,0.03143,1.76497,4.16321,1.13254,0.000337232,0.000337232,0.000337232
31,921.656,1.68814,3.43398,1.04659,0.61984,0.06984,0.05976,0.03893,1.64582,4.18274,1.12027,0.000330722,0.000330722,0.000330722
32,950.994,1.72547,3.67946,1.05164,0.4012,0.06888,0.04434,0.02783,1.72275,4.16673,1.14483,0.000324213,0.000324213,0.000324213
33,977.631,1.71136,3.40359,0.99114,0.33595,0.06883,0.04205,0.02033,1.73052,4.42632,1.0992,0.000317704,0.000317704,0.000317704
