epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.016,1.07764,1.27064,0.77988,0.47089,0.46874,0.46734,0.32434,1.05419,1.57333,0.7634,0.00012624,0.00012624,0.00012624
2,54.696,1.02305,1.12548,0.7731,0.48259,0.4581,0.47841,0.33001,1.04856,1.57816,0.76467,0.000249235,0.000249235,0.000249235
3,91.6471,1.08474,1.17574,0.78447,0.43301,0.5455,0.47478,0.33237,0.99702,1.54139,0.75676,0.00036355,0.00036355,0.00036355
4,123.143,1.15188,1.22886,0.76409,0.38961,0.56004,0.4633,0.32839,1.04468,1.73281,0.76239,0.000469187,0.000469187,0.000469187
5,156.326,1.09905,1.24918,0.79334,0.43171,0.5364,0.48326,0.33607,1.08456,1.55409,0.76274,0.000456568,0.000456568,0.000456568
6,187.575,1.06436,1.17033,0.77877,0.40287,0.53636,0.47199,0.33599,1.03742,1.52317,0.76186,0.00043921,0.00043921,0.00043921
7,220.443,1.04817,1.1295,0.78626,0.46288,0.4565,0.46535,0.32717,1.06046,1.55485,0.76308,0.000421852,0.000421852,0.000421852
8,421.613,0.99301,1.11962,0.77929,0.40252,0.41325,0.37431,0.25666,1.09223,1.45081,0.76247,0.000404494,0.000404494,0.000404494
9,554.389,1.03655,1.09347,0.78184,0.41183,0.49782,0.48134,0.34699,1.01387,1.45356,0.7634,0.000387136,0.000387136,0.000387136
10,651.543,1.02455,1.08695,0.78232,0.40567,0.55939,0.48033,0.33752,1.04834,1.50099,0.75938,0.000369778,0.000369778,0.000369778
11,696.75,1.09073,1.16808,0.77425,0.41081,0.5197,0.4809,0.32945,1.08049,1.43647,0.76318,0.00035242,0.00035242,0.00035242
12,742.672,1.00471,1.07758,0.77804,0.49453,0.48217,0.48434,0.34418,1.02611,1.42038,0.75707,0.000335062,0.000335062,0.000335062
13,784.214,1.03726,1.10514,0.78091,0.41077,0.55334,0.48364,0.33997,1.02694,1.39194,0.7553,0.000317704,0.000317704,0.000317704
14,821.478,1.02086,1.03801,0.77461,0.44937,0.52273,0.49333,0.34252,0.9964,1.36066,0.75515,0.000300346,0.000300346,0.000300346
15,856.706,1.01593,1.0006,0.76823,0.48194,0.51663,0.50225,0.34435,1.01468,1.31949,0.7576,0.000282988,0.000282988,0.000282988
16,891.333,0.94903,0.9684,0.77485,0.45091,0.51008,0.49833,0.34686,0.98603,1.36126,0.76195,0.00026563,0.00026563,0.00026563
17,925.744,1.02476,1.02431,0.78796,0.40143,0.52124,0.48129,0.33811,0.99263,1.38652,0.76126,0.000248272,0.000248272,0.000248272
18,959.136,0.96367,1.01659,0.78268,0.45321,0.50695,0.50819,0.35831,1.00095,1.30109,0.76007,0.000230914,0.000230914,0.000230914
19,994.206,0.99365,0.97621,0.77952,0.50999,0.48394,0.50759,0.36674,0.97204,1.31622,0.76028,0.000213556,0.000213556,0.000213556
20,1029.9,0.9516,0.97072,0.77541,0.45496,0.51508,0.4932,0.35477,0.95803,1.33533,0.75853,0.000196198,0.000196198,0.000196198
21,1071.93,1.03582,1.09827,0.77637,0.43739,0.49709,0.48326,0.34204,0.99026,1.26822,0.75816,0.00017884,0.00017884,0.00017884
22,1109.34,0.97664,1.00972,0.77255,0.50866,0.49578,0.49742,0.34784,0.98697,1.2405,0.76194,0.000161482,0.000161482,0.000161482
23,1149.21,0.90011,0.98149,0.78095,0.42891,0.53105,0.49562,0.35663,0.94416,1.28671,0.76071,0.000144124,0.000144124,0.000144124
24,1187.37,0.9862,0.99919,0.76644,0.44422,0.51171,0.49444,0.34198,0.98561,1.30531,0.75958,0.000126766,0.000126766,0.000126766
25,1226.32,0.93211,0.97604,0.75894,0.50537,0.51654,0.49247,0.34601,1.0008,1.28217,0.75683,0.000109408,0.000109408,0.000109408
26,1262.2,0.98809,0.93941,0.77196,0.48689,0.51226,0.48928,0.34446,0.96903,1.26342,0.75691,9.205e-05,9.205e-05,9.205e-05
27,1297.31,0.8687,0.88347,0.75935,0.50371,0.54383,0.4913,0.34807,0.99123,1.25189,0.75938,7.4692e-05,7.4692e-05,7.4692e-05
28,1331.56,0.92832,0.97807,0.76302,0.50298,0.52143,0.49168,0.35713,0.96359,1.24075,0.75866,5.7334e-05,5.7334e-05,5.7334e-05
29,1365.68,0.91808,0.89845,0.76252,0.46011,0.51153,0.48981,0.35133,0.95851,1.23535,0.75948,3.9976e-05,3.9976e-05,3.9976e-05
30,1401.58,0.90212,0.87829,0.75909,0.45494,0.49312,0.48884,0.35151,0.95871,1.23719,0.75949,2.2618e-05,2.2618e-05,2.2618e-05
