epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1976,1.80558,4.06177,1.24583,0.01417,0.07831,0.02214,0.01193,1.37327,4.65052,0.95281,0.000170719,0.000170719,0.000170719
2,105.11,1.57242,2.68228,1.17361,0.0539,0.5911,0.17016,0.09658,1.32735,3.57848,0.95866,0.000342627,0.000342627,0.000342627
3,162.241,1.48178,2.55542,1.13294,0.35391,0.26512,0.24884,0.13523,1.48077,2.9115,1.0128,0.000511063,0.000511063,0.000511063
4,233.711,1.4501,2.31444,1.12356,0.23163,0.32917,0.2707,0.15279,1.35488,2.43881,0.98006,0.000510378,0.000510378,0.000510378
5,299.534,1.36341,2.16678,1.15257,0.30346,0.47336,0.32908,0.19673,1.25307,2.6299,1.0026,0.00050517,0.00050517,0.00050517
6,359.422,1.39397,2.12695,1.1376,0.32976,0.4199,0.39698,0.25404,1.18096,2.08273,0.94926,0.000499963,0.000499963,0.000499963
7,423.764,1.36626,2.02256,1.13154,0.47661,0.4423,0.46658,0.29657,1.20327,1.88517,0.95205,0.000494756,0.000494756,0.000494756
8,498.849,1.34187,1.91835,1.09467,0.51486,0.55599,0.43515,0.25094,1.30798,1.85185,0.94284,0.000489548,0.000489548,0.000489548
9,571.345,1.34128,1.86095,1.12431,0.56992,0.45752,0.51373,0.31406,1.17877,1.71146,0.92744,0.000484341,0.000484341,0.000484341
10,646.202,1.30674,1.71773,1.08129,0.52371,0.63577,0.59051,0.40604,1.07832,1.53628,0.92191,0.000479133,0.000479133,0.000479133
11,717.647,1.3066,1.73673,1.0965,0.58673,0.64824,0.60517,0.38913,1.11358,1.64938,0.9208,0.000473926,0.000473926,0.000473926
12,787.63,1.28127,1.6765,1.08027,0.6488,0.63905,0.67037,0.45308,1.13563,1.46241,0.91885,0.000468719,0.000468719,0.000468719
13,861.032,1.24392,1.63286,1.07961,0.63934,0.67142,0.68323,0.48932,1.03706,1.46097,0.92672,0.000463511,0.000463511,0.000463511
14,930.341,1.28441,1.53373,1.06214,0.69722,0.67753,0.70084,0.4807,1.08171,1.40051,0.92112,0.000458304,0.000458304,0.000458304
15,996.602,1.22022,1.46805,1.05837,0.76885,0.68112,0.71055,0.47703,1.11639,1.32095,0.936,0.000453096,0.000453096,0.000453096
16,1067.49,1.22229,1.50286,1.04293,0.64298,0.67565,0.5926,0.39375,1.14797,1.5119,0.9409,0.000447889,0.000447889,0.000447889
17,1137.64,1.25207,1.53964,1.04822,0.6859,0.73243,0.72099,0.49016,1.07664,1.34129,0.92743,0.000442682,0.000442682,0.000442682
18,1201.2,1.21532,1.46639,1.0651,0.70579,0.69517,0.73466,0.5044,1.00072,1.22066,0.90859,0.000437474,0.000437474,0.000437474
19,1273.29,1.2623,1.43139,1.05655,0.64194,0.7292,0.69335,0.4538,1.13003,1.46232,0.94445,0.000432267,0.000432267,0.000432267
20,1342.17,1.18048,1.34594,1.06538,0.65806,0.68394,0.6981,0.46207,1.09965,1.3157,0.9176,0.000427059,0.000427059,0.000427059
21,1418.64,1.22117,1.3452,1.01587,0.70179,0.74003,0.7189,0.4877,1.10513,1.20296,0.9023,0.000421852,0.000421852,0.000421852
