epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.832,1.32908,1.58491,0.93734,0.44857,0.33432,0.33947,0.2506,1.93431,2.49904,1.21801,0.000171348,0.000171348,0.000171348
2,123.548,1.39393,1.62798,0.91669,0.44226,0.35469,0.3314,0.24233,1.92226,2.43396,1.14708,0.000338101,0.000338101,0.000338101
3,189.107,1.57485,1.72018,0.92834,0.45569,0.32863,0.29656,0.22521,2.01454,2.46679,1.08034,0.000496175,0.000496175,0.000496175
4,252.912,1.59341,1.71271,0.91884,0.44883,0.32996,0.3124,0.22727,2.13121,2.42681,1.11341,0.000486945,0.000486945,0.000486945
5,319.21,1.60405,1.67116,0.9112,0.38864,0.34311,0.30168,0.21733,2.09343,2.44814,1.0984,0.000473926,0.000473926,0.000473926
6,382.809,1.65969,1.77838,0.91911,0.3852,0.36252,0.3125,0.23203,2.06181,2.40763,1.08697,0.000460907,0.000460907,0.000460907
7,447.317,1.59459,1.62687,0.92226,0.48218,0.32997,0.30464,0.23108,2.08138,2.32688,1.16056,0.000447889,0.000447889,0.000447889
8,512.169,1.50837,1.5979,0.9129,0.40295,0.36311,0.30069,0.22229,2.06788,2.422,1.11361,0.00043487,0.00043487,0.00043487
9,579.963,1.59604,1.61189,0.91665,0.50303,0.32637,0.31451,0.23641,2.04033,2.30219,1.10992,0.000421852,0.000421852,0.000421852
10,648.559,1.54917,1.5943,0.89005,0.49983,0.30277,0.30496,0.23049,2.00495,2.33455,1.10096,0.000408834,0.000408834,0.000408834
11,720.515,1.50738,1.54784,0.88696,0.41668,0.35806,0.30515,0.22763,2.04618,2.32762,1.07515,0.000395815,0.000395815,0.000395815
12,794.309,1.5256,1.53266,0.89285,0.34844,0.32078,0.27739,0.21,2.01375,2.40625,1.06795,0.000382796,0.000382796,0.000382796
13,867.702,1.41845,1.45529,0.89221,0.46926,0.32963,0.3003,0.22696,1.97404,2.25384,1.08712,0.000369778,0.000369778,0.000369778
14,944.68,1.45557,1.48984,0.89492,0.4562,0.32736,0.30764,0.22815,1.98011,2.24905,1.09736,0.00035676,0.00035676,0.00035676
15,1021.32,1.58348,1.63465,0.93205,0.41387,0.35448,0.31195,0.23217,2.01221,2.34086,1.11311,0.000343741,0.000343741,0.000343741
16,1098.98,1.42927,1.43511,0.8808,0.42118,0.35283,0.30844,0.22388,1.9593,2.27858,1.07624,0.000330722,0.000330722,0.000330722
